objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
96781,Tesimo,Tisens,39010,Kasatschberg,Casaccia,304 - Kleines Gebiet,3
101678,Naz-Sciaves,Natz-Schabs,39040,Raas,Rasa,408 - Ort < 1.000 Einwohner,5
103577,Valle di Casies,Gsies,39030,Außerpichl,Colle di Fuori,408 - Ort < 1.000 Einwohner,4
103616,Velturno,Feldthurns,39040,Fürholz,Taverna,410 - Einzelhaus,6
104392,Racines,Ratschings,39040,Außerratschings,Racines di Fuori,303 - Mittelgroßes Gebiet,1
105035,Bolzano,Bozen,39100,Zwölfmalgreien,Le Malgreien,408 - Ort < 1.000 Einwohner,4
107235,Chienes,Kiens,39030,Kienberg,Monte d'Abete,303 - Mittelgroßes Gebiet,4
107382,Villandro,Villanders,39040,Sankt Valentin,San Valentino,412 - Historisches Bauwerk,4
109134,Curon Venosta,Graun im Vinschgau,39027,Kapron,Caprone,408 - Ort < 1.000 Einwohner,3
111078,Laion,Lajen,39040,Unterried,Novale di Sotto,408 - Ort < 1.000 Einwohner,4
111895,S.Lorenzo di Sebato,St.Lorenzen,39030,Montal,Mantana,408 - Ort < 1.000 Einwohner,3
112705,Rasun Anterselva,Rasen-Antholz,39030,Antholz-Niedertal,Anterselva di Sotto,408 - Ort < 1.000 Einwohner,4
114811,Castelrotto,Kastelruth,39040,Puflatsch,Bullaccia,303 - Mittelgroßes Gebiet,3
115720,Sesto,Sexten,39030,St. Veit,S. Vito,408 - Ort < 1.000 Einwohner,2
115844,Lana,Lana,39011,Niederlana,Lana di Sotto,408 - Ort < 1.000 Einwohner,0
121072,Vipiteno,Sterzing,39049,Tschöfs-Feld,Campi di Ceves,304 - Kleines Gebiet,4
121665,Tirolo,Tirol,39019,St. Peter,S. Pietro,412 - Historisches Bauwerk,4
125134,Sarentino,Sarntal,39058,Astfeld,Campolasta,408 - Ort < 1.000 Einwohner,4
125568,Appiano,Eppan,39057,Gand,Ganda,408 - Ort < 1.000 Einwohner,5
125740,Valle di Casies,Gsies,39030,Sankt Martin,San Martino,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
129550,Laion,Lajen,39040,St. Peter im Tal,S. Pietro in Valle,"409 - Weiler, Häusergruppe",4
130223,Bressanone,Brixen,39042,Tötschling,Tecelinga,"409 - Weiler, Häusergruppe",5
130622,Nova Ponente,Deutschnofen,39050,Köhlhof,Maso dei Cavoli,410 - Einzelhaus,4
131485,S.Martino in Passiria,St.Martin in Passeier,39010,Kalmtal,Valle Clava,303 - Mittelgroßes Gebiet,4
133952,Sarentino,Sarntal,39058,Sarntal,Val Sarentino,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,5
135991,Appiano,Eppan,39057,Schulthaus,Castel Palù,304 - Kleines Gebiet,4
136521,Bolzano,Bozen,39100,St. Magdalena,S. Maddalena,"409 - Weiler, Häusergruppe",4
138222,Valle Aurina,Ahrntal,39030,Klamme,Burrone,304 - Kleines Gebiet,4
138377,Renon,Ritten,39054,Antlas,Antlas,"409 - Weiler, Häusergruppe",0
143458,Racines,Ratschings,39040,Innerratschings,Racines di Dentro,303 - Mittelgroßes Gebiet,1
143770,Marebbe,Enneberg,39030,Pfarre,La Pieve,408 - Ort < 1.000 Einwohner,1
145049,Cortaccia,Kurtatsch,39040,Rungg,Ronchi,304 - Kleines Gebiet,3
145321,Tesimo,Tisens,39010,Tisner Vorbichl,Colli,304 - Kleines Gebiet,4
146871,Castelrotto,Kastelruth,39040,Seiser Alm,Alpe di Siusi,302 - Großes Gebiet,3
148345,Braies,Prags,39030,Außerprags,Braies di Fuori,303 - Mittelgroßes Gebiet,5
148811,Marlengo,Marling,39020,Marlinger Berg,Monte Marlengo,303 - Mittelgroßes Gebiet,3
150871,Appiano,Eppan,39057,St. Pauls,S. Paolo,304 - Kleines Gebiet,4
154891,Naturno,Naturns,39025,Tabland,Tablà,408 - Ort < 1.000 Einwohner,3
156488,Selva di Val Gardena,Wolkenstein in Gröden,39048,La Poza,La Pozza,408 - Ort < 1.000 Einwohner,1
156737,Tires,Tiers,39050,Niger,Nigra,304 - Kleines Gebiet,3
160369,Valle di Casies,Gsies,39030,Gsies,Casies,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
160538,Brennero,Brenner,39041,Außerpflersch,Fleres di Fuori,"409 - Weiler, Häusergruppe",5
162745,Aldino,Aldein,39040,Unterradein,Redagno di Sotto,408 - Ort < 1.000 Einwohner,3
164138,Martello,Martell,39020,Waldberg,Selva,303 - Mittelgroßes Gebiet,4
164758,Moso in Passiria,Moos in Passeier,39013,Prisch,Prisca,410 - Einzelhaus,5
167035,Brennero,Brenner,39041,Innerpflersch,Fleres di Dentro,408 - Ort < 1.000 Einwohner,5
169844,S.Pancrazio,St.Pankraz,39010,Nörderberg,Monte Tramontana,303 - Mittelgroßes Gebiet,4
170408,Racines,Ratschings,39040,Bühel,Colle,408 - Ort < 1.000 Einwohner,4
170666,Brunico,Bruneck,39031,Amaten,Ameto,"409 - Weiler, Häusergruppe",5
285789,Martello,Martell,39020,Meiern,Valle,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,6
285805,Castelrotto,Kastelruth,39040,Passberg,Passua,408 - Ort < 1.000 Einwohner,3
285847,Funes,Villnöss,39040,St. Valentin,S. Valentino,"409 - Weiler, Häusergruppe",4
285861,Valle Aurina,Ahrntal,39030,Weißenbach,Riobianco,408 - Ort < 1.000 Einwohner,4
