objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
122707,Bolzano,Bozen,39100,Oberau,Oltrisarco,"409 - Weiler, Häusergruppe",3
123008,Valle Aurina,Ahrntal,39030,Steinhaus,Cadipietra,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
123063,Fie' allo Sciliar,Völs am Schlern,39050,Oberaicha,Àica di Sotto,408 - Ort < 1.000 Einwohner,4
123069,Rio di Pusteria,Mühlbach,39037,Spinges,Spinga,408 - Ort < 1.000 Einwohner,3
124416,Villandro,Villanders,39040,St. Moritz,S. Maurizio,"409 - Weiler, Häusergruppe",4
125503,Renon,Ritten,39054,Wolfsgruben,Costalovara,"409 - Weiler, Häusergruppe",6
126020,Silandro,Schlanders,39028,Vetzan,Vezzano,408 - Ort < 1.000 Einwohner,3
126856,S.Leonardo in Passiria,St.Leonhard in Pass.,39015,Sankt Leonhard in Passeier,San Leonardo in Passiria,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
126977,Fortezza,Franzensfeste,39045,Mittewald,Mezzaselva,408 - Ort < 1.000 Einwohner,4
127459,Corvara in Badia,Corvara,39033,Kurfar,Corvara,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
128166,Val di Vizze,Pfitsch,39049,Flains,Flaines,"409 - Weiler, Häusergruppe",1
128507,S.Lorenzo di Sebato,St.Lorenzen,39030,Onach,Onies,408 - Ort < 1.000 Einwohner,3
128533,S.Genesio Atesino,Jenesien,39050,Afing,Avigna,408 - Ort < 1.000 Einwohner,3
129485,Brunico,Bruneck,39031,Aufhofen,Villa S. Caterina,408 - Ort < 1.000 Einwohner,6
129717,Campo di Trens,Freienfeld,39040,Mauls,Mules,408 - Ort < 1.000 Einwohner,3
130639,Funes,Villnöss,39040,Villnöß,Funes,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
130944,Nova Ponente,Deutschnofen,39050,Birchabruck,Ponte Nova,408 - Ort < 1.000 Einwohner,4
131323,Tirolo,Tirol,39019,Tirol,Tirolo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
132441,Racines,Ratschings,39040,Telfes,Telves,408 - Ort < 1.000 Einwohner,1
132871,Velturno,Feldthurns,39040,Feldthurns,Velturno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
132935,Laces,Latsch,39021,Tarsch,Tarres,408 - Ort < 1.000 Einwohner,3
133982,Caldaro,Kaltern,39052,Oberplanitzing,Planezza di Sopra,408 - Ort < 1.000 Einwohner,3
134072,Vadena,Pfatten,39051,Pfatten,Vadena,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
135095,Falzes,Pfalzen,39030,Issing,Issengo,"409 - Weiler, Häusergruppe",5
135902,Merano,Meran,39012,Obermais,Maia Alta,"409 - Weiler, Häusergruppe",2
136211,Gais,Gais,39030,Mühlbach,Riomolino,408 - Ort < 1.000 Einwohner,4
136258,S.Martino in Badia,St.Martin in Thurn,39030,Untermoi,Antermoia,408 - Ort < 1.000 Einwohner,1
136526,Terlano,Terlan,39018,Vilpian,Vilpiano,408 - Ort < 1.000 Einwohner,3
137932,Moso in Passiria,Moos in Passeier,39013,Moos,Moso,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
138046,Cortaccia,Kurtatsch,39040,Graun,Curón,408 - Ort < 1.000 Einwohner,3
138069,Malles Venosta,Mals,39024,Schleis,Clusio,408 - Ort < 1.000 Einwohner,3
138256,Moso in Passiria,Moos in Passeier,39013,Platt,Plata,408 - Ort < 1.000 Einwohner,4
138690,Marebbe,Enneberg,39030,Montal,Mantena,"409 - Weiler, Häusergruppe",3
139751,Falzes,Pfalzen,39030,Platten,Plata,"409 - Weiler, Häusergruppe",4
139903,Fie' allo Sciliar,Völs am Schlern,39050,Völs,Fié,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
140050,S.Candido,Innichen,39038,Innichen,San Candido,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
140052,S.Genesio Atesino,Jenesien,39050,Jenesien,S. Genesio,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
140168,Cortaccia,Kurtatsch,39040,Kurtatsch,Cortaccia,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
140517,Rasun Anterselva,Rasen-Antholz,39030,Oberrasen,Rasun di Sopra,408 - Ort < 1.000 Einwohner,4
140887,Valle di Casies,Gsies,39030,Sankt Magdalena,Santa Maddalena,408 - Ort < 1.000 Einwohner,4
141207,Vandoies,Vintl,39030,Pfunders,Fundres,408 - Ort < 1.000 Einwohner,1
141298,Martello,Martell,39020,Gand,Ganda,408 - Ort < 1.000 Einwohner,5
141596,Brennero,Brenner,39041,Brenner,Brennero,408 - Ort < 1.000 Einwohner,2
141636,Glorenza,Glurns,39020,Glurns,Glorenza,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
141967,Naz-Sciaves,Natz-Schabs,39040,Schabs,Sciaves,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
142424,Naturno,Naturns,39025,Naturns,Naturno,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,5
143557,Luson,Lüsen,39040,Lüsen,Luson,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
144118,Aldino,Aldein,39040,Radein,Redagno,408 - Ort < 1.000 Einwohner,3
144168,Valle Aurina,Ahrntal,39030,Sankt Johann,San Giovanni,408 - Ort < 1.000 Einwohner,4
144267,Lasa,Laas,39023,Tschengls,Cengles,408 - Ort < 1.000 Einwohner,5
145009,Ortisei,St.Ulrich,39046,Sankt Ulrich,Ortisei,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
145830,Curon Venosta,Graun im Vinschgau,39027,Melag,Melago,"409 - Weiler, Häusergruppe",3
146189,S.Cristina Valgardena,St.Christina in Gröden,39047,Sankt Christina,Santa Cristina,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
146596,Campo Tures,Sand in Taufers,39032,Kematen,Caminata,408 - Ort < 1.000 Einwohner,3
